Date,Time,LEVEL,TEMPERATURE
2/3/2021,2:30:00,0.1466,7.083
2/3/2021,2:45:00,0.142,7.076
2/3/2021,3:00:00,0.1529,7.066
2/3/2021,3:15:00,0.1515,7.047
2/3/2021,3:30:00,0.1601,7.061
2/3/2021,3:45:00,0.1546,7.058
2/3/2021,4:00:00,0.1589,7.04
2/3/2021,4:15:00,0.1576,7.037
2/3/2021,4:30:00,0.1584,7.006
2/3/2021,4:45:00,0.1585,6.996
2/3/2021,5:00:00,0.1516,6.988
2/3/2021,5:15:00,0.1491,6.976
2/3/2021,5:30:00,0.1524,6.989
2/3/2021,5:45:00,0.1543,6.994
2/3/2021,6:00:00,0.1521,7.006
2/3/2021,6:15:00,0.1533,7.03
2/3/2021,6:30:00,0.1481,7.039
2/3/2021,6:45:00,0.1494,7.039
2/3/2021,7:00:00,0.1445,7.038
2/3/2021,7:15:00,0.147,7.043
2/3/2021,7:30:00,0.1427,7.014
2/3/2021,7:45:00,0.1461,6.996
2/3/2021,8:00:00,0.1405,6.981
2/3/2021,8:15:00,0.1466,6.939
2/3/2021,8:30:00,0.1305,6.905
2/3/2021,8:45:00,0.1371,6.907
2/3/2021,9:00:00,0.1265,6.902
2/3/2021,9:15:00,0.1343,6.91
2/3/2021,9:30:00,0.128,6.935
2/3/2021,9:45:00,0.1363,6.967
2/3/2021,10:00:00,0.1323,6.971
2/3/2021,10:15:00,0.1399,7.007
2/3/2021,10:30:00,0.1328,7.025
2/3/2021,10:45:00,0.1387,7.094
2/3/2021,11:00:00,0.134,7.182
2/3/2021,11:15:00,0.1387,7.243
2/3/2021,11:30:00,0.1372,7.343
2/3/2021,11:45:00,0.144,7.419
2/3/2021,12:00:00,0.139,7.54
2/3/2021,12:15:00,0.1441,7.654
2/3/2021,12:30:00,0.1396,7.771
2/3/2021,12:45:00,0.1414,7.861
2/3/2021,13:00:00,0.1484,8.026
2/3/2021,13:15:00,0.1501,8.062
2/3/2021,13:30:00,0.1519,8.056
2/3/2021,13:45:00,0.154,8.089
2/3/2021,14:00:00,0.1497,8.114
2/3/2021,14:15:00,0.1527,8.205
2/3/2021,14:30:00,0.1491,8.243
2/3/2021,14:45:00,0.1531,8.302
2/3/2021,15:00:00,0.1448,8.366
2/3/2021,15:15:00,0.1482,8.37
2/3/2021,15:30:00,0.1449,8.394
2/3/2021,15:45:00,0.1483,8.342
2/3/2021,16:00:00,0.1437,8.303
2/3/2021,16:15:00,0.1466,8.279
2/3/2021,16:30:00,0.1399,8.199
2/3/2021,16:45:00,0.1428,8.131
2/3/2021,17:00:00,0.1374,8.064
2/3/2021,17:15:00,0.1402,8.018
2/3/2021,17:30:00,0.1367,7.999
2/3/2021,17:45:00,0.1385,7.943
2/3/2021,18:00:00,0.1366,7.891
2/3/2021,18:15:00,0.1387,7.819
2/3/2021,18:30:00,0.1327,7.735
2/3/2021,18:45:00,0.1367,7.654
2/3/2021,19:00:00,0.1305,7.572
2/3/2021,19:15:00,0.1322,7.511
2/3/2021,19:30:00,0.1362,7.449
2/3/2021,19:45:00,0.1403,7.396
2/3/2021,20:00:00,0.1349,7.351
2/3/2021,20:15:00,0.1353,7.316
2/3/2021,20:30:00,0.137,7.282
2/3/2021,20:45:00,0.1399,7.247
2/3/2021,21:00:00,0.1381,7.212
2/3/2021,21:15:00,0.1394,7.171
2/3/2021,21:30:00,0.1334,7.142
2/3/2021,21:45:00,0.134,7.106
2/3/2021,22:00:00,0.1347,7.077
2/3/2021,22:15:00,0.1393,7.058
2/3/2021,22:30:00,0.1343,7.028
2/3/2021,22:45:00,0.1358,7.001
2/3/2021,23:00:00,0.1309,6.975
2/3/2021,23:15:00,0.1318,6.949
2/3/2021,23:30:00,0.1348,6.928
2/3/2021,23:45:00,0.1381,6.903
2/4/2021,0:00:00,0.1322,6.883
2/4/2021,0:15:00,0.1339,6.86
2/4/2021,0:30:00,0.1354,6.837
2/4/2021,0:45:00,0.1367,6.817
2/4/2021,1:00:00,0.1382,6.798
2/4/2021,1:15:00,0.1396,6.77
2/4/2021,1:30:00,0.1387,6.755
2/4/2021,1:45:00,0.14,6.731
2/4/2021,2:00:00,0.1349,6.708
2/4/2021,2:15:00,0.1358,6.681
2/4/2021,2:30:00,0.1342,6.666
2/4/2021,2:45:00,0.1381,6.639
2/4/2021,3:00:00,0.1341,6.621
2/4/2021,3:15:00,0.1354,6.611
2/4/2021,3:30:00,0.1337,6.59
2/4/2021,3:45:00,0.1357,6.573
2/4/2021,4:00:00,0.1355,6.557
2/4/2021,4:15:00,0.1374,6.533
2/4/2021,4:30:00,0.1346,6.517
2/4/2021,4:45:00,0.1341,6.498
2/4/2021,5:00:00,0.1371,6.479
2/4/2021,5:15:00,0.1387,6.465
2/4/2021,5:30:00,0.1376,6.447
2/4/2021,5:45:00,0.1378,6.426
2/4/2021,6:00:00,0.1373,6.412
2/4/2021,6:15:00,0.1377,6.395
2/4/2021,6:30:00,0.1351,6.376
2/4/2021,6:45:00,0.1367,6.357
2/4/2021,7:00:00,0.1328,6.346
2/4/2021,7:15:00,0.1353,6.345
2/4/2021,7:30:00,0.1304,6.33
2/4/2021,7:45:00,0.1313,6.313
2/4/2021,8:00:00,0.133,6.306
2/4/2021,8:15:00,0.1355,6.287
2/4/2021,8:30:00,0.1335,6.273
2/4/2021,8:45:00,0.1341,6.261
2/4/2021,9:00:00,0.1349,6.27
2/4/2021,9:15:00,0.1384,6.275
2/4/2021,9:30:00,0.1358,6.294
2/4/2021,9:45:00,0.1364,6.295
2/4/2021,10:00:00,0.1343,6.28
2/4/2021,10:15:00,0.1285,6.348
2/4/2021,10:30:00,0.1258,6.325
2/4/2021,10:45:00,0.1261,6.341
2/4/2021,11:00:00,0.1257,6.488
2/4/2021,11:15:00,0.1239,6.547
2/4/2021,11:30:00,0.1345,6.617
2/4/2021,11:45:00,0.1323,6.706
2/4/2021,12:00:00,0.1428,6.799
2/4/2021,12:15:00,0.1399,6.908
2/4/2021,12:30:00,0.142,7.031
2/4/2021,12:45:00,0.1383,7.147
2/4/2021,13:00:00,0.1405,7.277
2/4/2021,13:15:00,0.1396,7.403
2/4/2021,13:30:00,0.1431,7.512
2/4/2021,13:45:00,0.1401,7.624
2/4/2021,14:00:00,0.1461,7.702
2/4/2021,14:15:00,0.1434,7.824
2/4/2021,14:30:00,0.1443,7.936
2/4/2021,14:45:00,0.1413,8.011
2/4/2021,15:00:00,0.1384,8.06
2/4/2021,15:15:00,0.1378,8.14
2/4/2021,15:30:00,0.1396,8.153
2/4/2021,15:45:00,0.1412,8.18
2/4/2021,16:00:00,0.1372,8.192
2/4/2021,16:15:00,0.1363,8.192
2/4/2021,16:30:00,0.1326,8.184
2/4/2021,16:45:00,0.1327,8.127
2/4/2021,17:00:00,0.1347,8.081
2/4/2021,17:15:00,0.1328,8.026
2/4/2021,17:30:00,0.1318,7.955
2/4/2021,17:45:00,0.1321,7.888
2/4/2021,18:00:00,0.1247,7.817
2/4/2021,18:15:00,0.1244,7.744
2/4/2021,18:30:00,0.1216,7.661
2/4/2021,18:45:00,0.1227,7.571
2/4/2021,19:00:00,0.1207,7.476
2/4/2021,19:15:00,0.119,7.401
2/4/2021,19:30:00,0.1158,7.325
2/4/2021,19:45:00,0.115,7.24
2/4/2021,20:00:00,0.1167,7.166
2/4/2021,20:15:00,0.1166,7.103
2/4/2021,20:30:00,0.1162,7.045
2/4/2021,20:45:00,0.1171,7.004
2/4/2021,21:00:00,0.1141,6.97
2/4/2021,21:15:00,0.1141,6.929
2/4/2021,21:30:00,0.113,6.89
2/4/2021,21:45:00,0.1154,6.868
2/4/2021,22:00:00,0.1134,6.85
2/4/2021,22:15:00,0.113,6.82
2/4/2021,22:30:00,0.1177,6.806
2/4/2021,22:45:00,0.1185,6.777
2/4/2021,23:00:00,0.1162,6.747
2/4/2021,23:15:00,0.1158,6.731
2/4/2021,23:30:00,0.1156,6.713
2/4/2021,23:45:00,0.1151,6.68
2/5/2021,0:00:00,0.1148,6.661
2/5/2021,0:15:00,0.1133,6.636
2/5/2021,0:30:00,0.1176,6.616
2/5/2021,0:45:00,0.1164,6.588
2/5/2021,1:00:00,0.1196,6.57
2/5/2021,1:15:00,0.118,6.551
2/5/2021,1:30:00,0.1185,6.525
2/5/2021,1:45:00,0.1178,6.496
2/5/2021,2:00:00,0.1156,6.472
2/5/2021,2:15:00,0.115,6.459
2/5/2021,2:30:00,0.1149,6.428
2/5/2021,2:45:00,0.1151,6.417
2/5/2021,3:00:00,0.1177,6.393
2/5/2021,3:15:00,0.1152,6.367
2/5/2021,3:30:00,0.1216,6.348
2/5/2021,3:45:00,0.1194,6.318
2/5/2021,4:00:00,0.1199,6.297
2/5/2021,4:15:00,0.117,6.28
2/5/2021,4:30:00,0.1194,6.259
2/5/2021,4:45:00,0.1166,6.23
2/5/2021,5:00:00,0.122,6.212
2/5/2021,5:15:00,0.1203,6.181
2/5/2021,5:30:00,0.1187,6.163
2/5/2021,5:45:00,0.1174,6.142
2/5/2021,6:00:00,0.1166,6.12
2/5/2021,6:15:00,0.1163,6.12
2/5/2021,6:30:00,0.1159,6.085
2/5/2021,6:45:00,0.1184,6.065
2/5/2021,7:00:00,0.1107,6.047
2/5/2021,7:15:00,0.1112,6.043
2/5/2021,7:30:00,0.1108,6.022
2/5/2021,7:45:00,0.1123,5.997
2/5/2021,8:00:00,0.111,5.976
2/5/2021,8:15:00,0.111,5.963
2/5/2021,8:30:00,0.1126,5.947
2/5/2021,8:45:00,0.111,5.936
2/5/2021,9:00:00,0.1175,5.907
2/5/2021,9:15:00,0.1186,5.952
2/5/2021,9:30:00,0.1202,5.984
2/5/2021,9:45:00,0.1169,6.007
2/5/2021,10:00:00,0.1183,5.998
2/5/2021,10:15:00,0.1182,6.046
2/5/2021,10:30:00,0.1215,6.18
2/5/2021,10:45:00,0.1224,6.29
2/5/2021,11:00:00,0.123,6.42
2/5/2021,11:15:00,0.1233,6.555
2/5/2021,11:30:00,0.1291,6.701
2/5/2021,11:45:00,0.1288,6.841
2/5/2021,12:00:00,0.1346,6.978
2/5/2021,12:15:00,0.1339,7.091
2/5/2021,12:30:00,0.1362,7.228
2/5/2021,12:45:00,0.132,7.348
2/5/2021,13:00:00,0.1408,7.478
2/5/2021,13:15:00,0.1403,7.603
2/5/2021,13:30:00,0.1389,7.696
2/5/2021,13:45:00,0.1367,7.812
2/5/2021,14:00:00,0.1387,7.934
2/5/2021,14:15:00,0.1428,8.112
2/5/2021,14:30:00,0.1468,8.212
2/5/2021,14:45:00,0.1417,8.339
2/5/2021,15:00:00,0.1424,8.441
2/5/2021,15:15:00,0.1405,8.564
2/5/2021,15:30:00,0.1451,8.657
2/5/2021,15:45:00,0.145,8.728
2/5/2021,16:00:00,0.1431,8.763
2/5/2021,16:15:00,0.1443,8.771
2/5/2021,16:30:00,0.1408,8.737
2/5/2021,16:45:00,0.1409,8.671
2/5/2021,17:00:00,0.1405,8.597
2/5/2021,17:15:00,0.1399,8.505
2/5/2021,17:30:00,0.1406,8.411
2/5/2021,17:45:00,0.1392,8.294
2/5/2021,18:00:00,0.1365,8.203
2/5/2021,18:15:00,0.136,8.102
2/5/2021,18:30:00,0.1305,8.015
2/5/2021,18:45:00,0.1335,7.931
2/5/2021,19:00:00,0.1267,7.854
2/5/2021,19:15:00,0.1261,7.77
2/5/2021,19:30:00,0.126,7.708
2/5/2021,19:45:00,0.1272,7.652
2/5/2021,20:00:00,0.123,7.591
2/5/2021,20:15:00,0.1235,7.542
2/5/2021,20:30:00,0.1221,7.491
2/5/2021,20:45:00,0.1247,7.462
2/5/2021,21:00:00,0.1174,7.431
2/5/2021,21:15:00,0.1187,7.411
2/5/2021,21:30:00,0.1151,7.393
2/5/2021,21:45:00,0.1166,7.372
2/5/2021,22:00:00,0.1148,7.357
2/5/2021,22:15:00,0.1144,7.348
2/5/2021,22:30:00,0.1184,7.326
2/5/2021,22:45:00,0.1184,7.306
2/5/2021,23:00:00,0.1168,7.293
2/5/2021,23:15:00,0.1158,7.274
2/5/2021,23:30:00,0.1181,7.252
2/5/2021,23:45:00,0.118,7.236
2/6/2021,0:00:00,0.1199,7.225
2/6/2021,0:15:00,0.1177,7.199
2/6/2021,0:30:00,0.1195,7.196
2/6/2021,0:45:00,0.1172,7.17
2/6/2021,1:00:00,0.1184,7.152
2/6/2021,1:15:00,0.1157,7.142
2/6/2021,1:30:00,0.1205,7.101
2/6/2021,1:45:00,0.1203,7.084
2/6/2021,2:00:00,0.1215,7.057
2/6/2021,2:15:00,0.1189,7.035
2/6/2021,2:30:00,0.118,7.013
2/6/2021,2:45:00,0.116,6.998
2/6/2021,3:00:00,0.1191,6.969
2/6/2021,3:15:00,0.1177,6.957
2/6/2021,3:30:00,0.119,6.941
2/6/2021,3:45:00,0.1184,6.934
2/6/2021,4:00:00,0.1179,6.897
2/6/2021,4:15:00,0.117,6.891
2/6/2021,4:30:00,0.1149,6.864
2/6/2021,4:45:00,0.1139,6.851
2/6/2021,5:00:00,0.1152,6.835
2/6/2021,5:15:00,0.1128,6.812
2/6/2021,5:30:00,0.1175,6.795
2/6/2021,5:45:00,0.1174,6.775
2/6/2021,6:00:00,0.1151,6.763
2/6/2021,6:15:00,0.1129,6.737
2/6/2021,6:30:00,0.1133,6.728
2/6/2021,6:45:00,0.1134,6.709
2/6/2021,7:00:00,0.1151,6.689
2/6/2021,7:15:00,0.1145,6.667
2/6/2021,7:30:00,0.1128,6.66
2/6/2021,7:45:00,0.1125,6.629
2/6/2021,8:00:00,0.1112,6.626
2/6/2021,8:15:00,0.1126,6.641
2/6/2021,8:30:00,0.1121,6.627
2/6/2021,8:45:00,0.1117,6.624
2/6/2021,9:00:00,0.1138,6.646
2/6/2021,9:15:00,0.1139,6.621
2/6/2021,9:30:00,0.1164,6.667
2/6/2021,9:45:00,0.1159,6.723
2/6/2021,10:00:00,0.1183,6.764
2/6/2021,10:15:00,0.1196,6.811
2/6/2021,10:30:00,0.1204,6.89
2/6/2021,10:45:00,0.1206,6.931
2/6/2021,11:00:00,0.122,7.038
2/6/2021,11:15:00,0.1207,7.121
2/6/2021,11:30:00,0.1301,7.243
2/6/2021,11:45:00,0.1274,7.355
2/6/2021,12:00:00,0.1382,7.476
2/6/2021,12:15:00,0.1355,7.624
2/6/2021,12:30:00,0.1391,7.771
2/6/2021,12:45:00,0.1334,7.89
2/6/2021,13:00:00,0.1421,8.01
2/6/2021,13:15:00,0.1372,8.117
2/6/2021,13:30:00,0.145,8.208
2/6/2021,13:45:00,0.14,8.308
2/6/2021,14:00:00,0.1411,8.409
2/6/2021,14:15:00,0.1367,8.518
2/6/2021,14:30:00,0.1397,8.627
2/6/2021,14:45:00,0.1371,8.671
2/6/2021,15:00:00,0.1421,8.735
2/6/2021,15:15:00,0.1391,8.763
2/6/2021,15:30:00,0.1397,8.793
2/6/2021,15:45:00,0.1373,8.809
2/6/2021,16:00:00,0.1377,8.813
2/6/2021,16:15:00,0.1356,8.805
2/6/2021,16:30:00,0.1415,8.772
2/6/2021,16:45:00,0.1393,8.73
2/6/2021,17:00:00,0.1403,8.675
2/6/2021,17:15:00,0.1381,8.624
2/6/2021,17:30:00,0.1322,8.564
2/6/2021,17:45:00,0.1322,8.499
2/6/2021,18:00:00,0.1283,8.421
2/6/2021,18:15:00,0.1302,8.349
2/6/2021,18:30:00,0.123,8.267
2/6/2021,18:45:00,0.1224,8.178
2/6/2021,19:00:00,0.1213,8.083
2/6/2021,19:15:00,0.1233,8.001
2/6/2021,19:30:00,0.1232,7.915
2/6/2021,19:45:00,0.1239,7.839
2/6/2021,20:00:00,0.1174,7.765
2/6/2021,20:15:00,0.1188,7.703
2/6/2021,20:30:00,0.1127,7.642
2/6/2021,20:45:00,0.1145,7.597
2/6/2021,21:00:00,0.1113,7.547
2/6/2021,21:15:00,0.1141,7.501
2/6/2021,21:30:00,0.1124,7.475
2/6/2021,21:45:00,0.1142,7.453
2/6/2021,22:00:00,0.1104,7.43
2/6/2021,22:15:00,0.1108,7.401
2/6/2021,22:30:00,0.1095,7.373
2/6/2021,22:45:00,0.1099,7.341
2/6/2021,23:00:00,0.1113,7.312
2/6/2021,23:15:00,0.1112,7.28
2/6/2021,23:30:00,0.1139,7.255
2/6/2021,23:45:00,0.1139,7.234
2/7/2021,0:00:00,0.1122,7.215
2/7/2021,0:15:00,0.1119,7.181
2/7/2021,0:30:00,0.1115,7.169
2/7/2021,0:45:00,0.1098,7.139
2/7/2021,1:00:00,0.1155,7.117
2/7/2021,1:15:00,0.1157,7.103
2/7/2021,1:30:00,0.115,7.087
2/7/2021,1:45:00,0.1127,7.068
2/7/2021,2:00:00,0.1144,7.051
2/7/2021,2:15:00,0.1131,7.02
2/7/2021,2:30:00,0.1154,7
2/7/2021,2:45:00,0.1149,6.985
2/7/2021,3:00:00,0.1135,6.97
2/7/2021,3:15:00,0.1104,6.955
2/7/2021,3:30:00,0.1155,6.947
2/7/2021,3:45:00,0.1147,6.922
2/7/2021,4:00:00,0.1172,6.89
2/7/2021,4:15:00,0.115,6.885
2/7/2021,4:30:00,0.1157,6.856
2/7/2021,4:45:00,0.1142,6.848
2/7/2021,5:00:00,0.1147,6.819
2/7/2021,5:15:00,0.1132,6.799
2/7/2021,5:30:00,0.1138,6.77
2/7/2021,5:45:00,0.1135,6.752
2/7/2021,6:00:00,0.1128,6.724
2/7/2021,6:15:00,0.1128,6.711
2/7/2021,6:30:00,0.111,6.689
2/7/2021,6:45:00,0.1104,6.675
2/7/2021,7:00:00,0.1122,6.645
2/7/2021,7:15:00,0.1121,6.623
2/7/2021,7:30:00,0.1122,6.615
2/7/2021,7:45:00,0.1121,6.594
2/7/2021,8:00:00,0.1106,6.576
2/7/2021,8:15:00,0.1093,6.568
2/7/2021,8:30:00,0.1116,6.553
2/7/2021,8:45:00,0.111,6.556
2/7/2021,9:00:00,0.1151,6.552
2/7/2021,9:15:00,0.1144,6.559
2/7/2021,9:30:00,0.1182,6.574
2/7/2021,9:45:00,0.1162,6.597
2/7/2021,10:00:00,0.1219,6.672
2/7/2021,10:15:00,0.1212,6.743
2/7/2021,10:30:00,0.1236,6.822
2/7/2021,10:45:00,0.1218,6.923
2/7/2021,11:00:00,0.1278,7.028
2/7/2021,11:15:00,0.1277,7.131
2/7/2021,11:30:00,0.1325,7.252
2/7/2021,11:45:00,0.1278,7.369
2/7/2021,12:00:00,0.1366,7.487
2/7/2021,12:15:00,0.1338,7.622
2/7/2021,12:30:00,0.1428,7.76
2/7/2021,12:45:00,0.138,7.898
2/7/2021,13:00:00,0.1441,8.011
2/7/2021,13:15:00,0.1397,8.127
2/7/2021,13:30:00,0.144,8.241
2/7/2021,13:45:00,0.1376,8.346
2/7/2021,14:00:00,0.1431,8.448
2/7/2021,14:15:00,0.1399,8.544
2/7/2021,14:30:00,0.1426,8.649
2/7/2021,14:45:00,0.1401,8.704
2/7/2021,15:00:00,0.1397,8.762
2/7/2021,15:15:00,0.1366,8.787
2/7/2021,15:30:00,0.141,8.811
2/7/2021,15:45:00,0.1398,8.826
2/7/2021,16:00:00,0.1398,8.827
2/7/2021,16:15:00,0.1377,8.818
2/7/2021,16:30:00,0.1365,8.772
2/7/2021,16:45:00,0.1364,8.731
2/7/2021,17:00:00,0.1321,8.681
2/7/2021,17:15:00,0.1327,8.616
2/7/2021,17:30:00,0.1291,8.551
2/7/2021,17:45:00,0.1313,8.493
2/7/2021,18:00:00,0.1277,8.417
2/7/2021,18:15:00,0.1299,8.342
2/7/2021,18:30:00,0.1236,8.247
2/7/2021,18:45:00,0.1226,8.153
2/7/2021,19:00:00,0.1216,8.054
2/7/2021,19:15:00,0.1219,7.943
2/7/2021,19:30:00,0.1217,7.852
2/7/2021,19:45:00,0.1211,7.764
2/7/2021,20:00:00,0.1203,7.685
2/7/2021,20:15:00,0.1193,7.606
2/7/2021,20:30:00,0.118,7.552
2/7/2021,20:45:00,0.1179,7.494
2/7/2021,21:00:00,0.1153,7.452
2/7/2021,21:15:00,0.1158,7.415
2/7/2021,21:30:00,0.1138,7.383
2/7/2021,21:45:00,0.1135,7.347
2/7/2021,22:00:00,0.1147,7.319
2/7/2021,22:15:00,0.1148,7.294
2/7/2021,22:30:00,0.1173,7.269
2/7/2021,22:45:00,0.1161,7.242
2/7/2021,23:00:00,0.1158,7.221
2/7/2021,23:15:00,0.1146,7.203
2/7/2021,23:30:00,0.1142,7.169
2/7/2021,23:45:00,0.1135,7.155
2/8/2021,0:00:00,0.1147,7.135
2/8/2021,0:15:00,0.115,7.112
2/8/2021,0:30:00,0.111,7.099
2/8/2021,0:45:00,0.109,7.072
2/8/2021,1:00:00,0.1124,7.059
2/8/2021,1:15:00,0.1132,7.023
2/8/2021,1:30:00,0.113,7.012
2/8/2021,1:45:00,0.1099,6.998
2/8/2021,2:00:00,0.1127,6.97
2/8/2021,2:15:00,0.1123,6.943
2/8/2021,2:30:00,0.1124,6.916
2/8/2021,2:45:00,0.1119,6.907
2/8/2021,3:00:00,0.1096,6.889
2/8/2021,3:15:00,0.1069,6.876
2/8/2021,3:30:00,0.1138,6.869
2/8/2021,3:45:00,0.116,6.862
2/8/2021,4:00:00,0.1127,6.863
2/8/2021,4:15:00,0.1122,6.853
2/8/2021,4:30:00,0.108,6.852
2/8/2021,4:45:00,0.11,6.844
2/8/2021,5:00:00,0.1056,6.808
2/8/2021,5:15:00,0.1077,6.79
2/8/2021,5:30:00,0.1053,6.767
2/8/2021,5:45:00,0.1058,6.749
2/8/2021,6:00:00,0.1071,6.712
2/8/2021,6:15:00,0.1082,6.686
2/8/2021,6:30:00,0.1086,6.669
2/8/2021,6:45:00,0.1096,6.655
2/8/2021,7:00:00,0.1059,6.643
2/8/2021,7:15:00,0.1069,6.625
2/8/2021,7:30:00,0.1049,6.608
2/8/2021,7:45:00,0.1053,6.594
2/8/2021,8:00:00,0.1054,6.582
2/8/2021,8:15:00,0.1046,6.57
2/8/2021,8:30:00,0.1092,6.569
2/8/2021,8:45:00,0.1117,6.563
2/8/2021,9:00:00,0.108,6.575
2/8/2021,9:15:00,0.1088,6.595
2/8/2021,9:30:00,0.1066,6.633
2/8/2021,9:45:00,0.109,6.675
2/8/2021,10:00:00,0.1098,6.724
2/8/2021,10:15:00,0.111,6.791
2/8/2021,10:30:00,0.116,6.864
2/8/2021,10:45:00,0.117,6.931
2/8/2021,11:00:00,0.1189,7.005
2/8/2021,11:15:00,0.1191,7.097
2/8/2021,11:30:00,0.122,7.182
2/8/2021,11:45:00,0.1207,7.267
2/8/2021,12:00:00,0.1285,7.383
2/8/2021,12:15:00,0.1262,7.445
2/8/2021,12:30:00,0.1342,7.535
2/8/2021,12:45:00,0.1306,7.648
2/8/2021,13:00:00,0.1376,7.756
2/8/2021,13:15:00,0.1355,7.856
2/8/2021,13:30:00,0.136,7.943
2/8/2021,13:45:00,0.1338,8.023
2/8/2021,14:00:00,0.1338,8.076
2/8/2021,14:15:00,0.1304,8.123
2/8/2021,14:30:00,0.1357,8.179
2/8/2021,14:45:00,0.1342,8.218
2/8/2021,15:00:00,0.1353,8.231
2/8/2021,15:15:00,0.1344,8.229
2/8/2021,15:30:00,0.133,8.239
2/8/2021,15:45:00,0.1316,8.253
2/8/2021,16:00:00,0.1332,8.266
2/8/2021,16:15:00,0.1321,8.268
2/8/2021,16:30:00,0.134,8.259
2/8/2021,16:45:00,0.1356,8.251
2/8/2021,17:00:00,0.1315,8.234
2/8/2021,17:15:00,0.1305,8.214
2/8/2021,17:30:00,0.1277,8.197
2/8/2021,17:45:00,0.129,8.163
2/8/2021,18:00:00,0.1279,8.123
2/8/2021,18:15:00,0.1314,8.086
2/8/2021,18:30:00,0.125,8.04
2/8/2021,18:45:00,0.1259,7.985
2/8/2021,19:00:00,0.1228,7.936
2/8/2021,19:15:00,0.124,7.884
2/8/2021,19:30:00,0.1263,7.833
2/8/2021,19:45:00,0.1256,7.802
2/8/2021,20:00:00,0.129,7.775
2/8/2021,20:15:00,0.1279,7.751
2/8/2021,20:30:00,0.1294,7.729
2/8/2021,20:45:00,0.1284,7.708
2/8/2021,21:00:00,0.1254,7.682
2/8/2021,21:15:00,0.1262,7.669
2/8/2021,21:30:00,0.124,7.648
2/8/2021,21:45:00,0.1235,7.625
2/8/2021,22:00:00,0.1238,7.607
2/8/2021,22:15:00,0.1244,7.591
2/8/2021,22:30:00,0.1234,7.578
2/8/2021,22:45:00,0.1231,7.572
2/8/2021,23:00:00,0.1227,7.571
2/8/2021,23:15:00,0.1221,7.563
2/8/2021,23:30:00,0.1244,7.562
2/8/2021,23:45:00,0.1258,7.561
2/9/2021,0:00:00,0.1238,7.551
2/9/2021,0:15:00,0.124,7.559
2/9/2021,0:30:00,0.12,7.556
2/9/2021,0:45:00,0.119,7.553
2/9/2021,1:00:00,0.1234,7.557
2/9/2021,1:15:00,0.1247,7.537
2/9/2021,1:30:00,0.1219,7.519
2/9/2021,1:45:00,0.122,7.508
2/9/2021,2:00:00,0.1179,7.499
2/9/2021,2:15:00,0.1171,7.488
2/9/2021,2:30:00,0.1199,7.469
2/9/2021,2:45:00,0.1209,7.458
2/9/2021,3:00:00,0.1192,7.452
2/9/2021,3:15:00,0.1187,7.445
2/9/2021,3:30:00,0.1209,7.439
2/9/2021,3:45:00,0.1216,7.433
2/9/2021,4:00:00,0.12,7.423
2/9/2021,4:15:00,0.1179,7.41
2/9/2021,4:30:00,0.1168,7.378
2/9/2021,4:45:00,0.1166,7.35
2/9/2021,5:00:00,0.1162,7.313
2/9/2021,5:15:00,0.1161,7.288
2/9/2021,5:30:00,0.1162,7.285
