Date,Time,EVN_level_m,Baro_level_m,EVN_compensated_m,EVN_temp_C
10/16/2020,4:30:00 PM,9.5277,9.20822,0.31948,9.119
10/16/2020,5:00:00 PM,9.5253,9.20748,0.31782,9.079
10/16/2020,5:30:00 PM,9.5226,9.20281,0.31979,9.021
10/16/2020,6:00:00 PM,9.5207,9.19983,0.32087,8.98
10/16/2020,6:30:00 PM,9.518,9.19865,0.31935,8.946
10/16/2020,7:00:00 PM,9.517,9.19709,0.31991,8.92
10/16/2020,7:30:00 PM,9.5174,9.19855,0.31885,8.908
10/16/2020,8:00:00 PM,9.5184,9.20028,0.31812,8.896
10/16/2020,8:30:00 PM,9.5189,9.1993,0.3196,8.884
10/16/2020,9:00:00 PM,9.5181,9.1992,0.3189,8.857
10/16/2020,9:30:00 PM,9.5186,9.2009,0.3177,8.813
10/16/2020,10:00:00 PM,9.5178,9.19979,0.31801,8.783
10/16/2020,10:30:00 PM,9.5152,9.19911,0.31609,8.752
10/16/2020,11:00:00 PM,9.5161,9.20046,0.31564,8.73
10/16/2020,11:30:00 PM,9.518,9.20379,0.31421,8.714
10/17/2020,12:00:00 AM,9.519,9.20444,0.31456,8.703
10/17/2020,12:30:00 AM,9.5187,9.20431,0.31439,8.701
10/17/2020,1:00:00 AM,9.5197,9.20663,0.31307,8.684
10/17/2020,1:30:00 AM,9.5182,9.20546,0.31274,8.669
10/17/2020,2:00:00 AM,9.5179,9.20539,0.31251,8.655
10/17/2020,2:30:00 AM,9.5196,9.20887,0.31073,8.651
10/17/2020,3:00:00 AM,9.5189,9.20704,0.31186,8.629
10/17/2020,3:30:00 AM,9.5185,9.20886,0.30964,8.613
10/17/2020,4:00:00 AM,9.5177,9.20638,0.31132,8.607
10/17/2020,4:30:00 AM,9.5168,9.20605,0.31075,8.585
10/17/2020,5:00:00 AM,9.5163,9.20634,0.30996,8.567
10/17/2020,5:30:00 AM,9.5174,9.20772,0.30968,8.554
10/17/2020,6:00:00 AM,9.5172,9.20741,0.30979,8.56
10/17/2020,6:30:00 AM,9.5184,9.20818,0.31022,8.573
10/17/2020,7:00:00 AM,9.5204,9.21016,0.31024,8.565
10/17/2020,7:30:00 AM,9.5204,9.21098,0.30942,8.572
10/17/2020,8:00:00 AM,9.5194,9.20978,0.30962,8.568
10/17/2020,8:30:00 AM,9.5214,9.21179,0.30961,8.59
10/17/2020,9:00:00 AM,9.5232,9.21301,0.31019,8.634
10/17/2020,9:30:00 AM,9.5243,9.21078,0.31352,8.706
10/17/2020,10:00:00 AM,9.5248,9.20906,0.31574,8.788
10/17/2020,10:30:00 AM,9.5269,9.21053,0.31637,8.872
10/17/2020,11:00:00 AM,9.528,9.21044,0.31756,8.961
10/17/2020,11:30:00 AM,9.5269,9.20795,0.31895,9.031
10/17/2020,12:00:00 PM,9.5246,9.2044,0.3202,9.121
10/17/2020,12:30:00 PM,9.5219,9.20035,0.32155,9.202
10/17/2020,1:00:00 PM,9.5183,9.19658,0.32172,9.265
10/17/2020,1:30:00 PM,9.5138,9.19362,0.32018,9.293
10/17/2020,2:00:00 PM,9.511,9.19066,0.32034,9.364
10/17/2020,2:30:00 PM,9.4984,9.18587,0.31253,9.37
10/17/2020,3:00:00 PM,9.4954,9.18238,0.31302,9.357
10/17/2020,3:30:00 PM,9.494,9.18001,0.31399,9.306
10/17/2020,4:00:00 PM,9.4925,9.18075,0.31175,9.255
10/17/2020,4:30:00 PM,9.4914,9.1796,0.3118,9.21
10/17/2020,5:00:00 PM,9.4918,9.18258,0.30922,9.167
10/17/2020,5:30:00 PM,9.4899,9.18009,0.30981,9.117
10/17/2020,6:00:00 PM,9.4895,9.17995,0.30955,9.07
10/17/2020,6:30:00 PM,9.494,9.18124,0.31276,9.014
10/17/2020,7:00:00 PM,9.4943,9.18217,0.31213,8.979
10/17/2020,7:30:00 PM,9.4936,9.18302,0.31058,8.943
10/17/2020,8:00:00 PM,9.4959,9.1857,0.3102,8.913
10/17/2020,8:30:00 PM,9.4976,9.18952,0.30808,8.886
10/17/2020,9:00:00 PM,9.4981,9.18957,0.30853,8.866
10/17/2020,9:30:00 PM,9.4992,9.19155,0.30765,8.848
10/17/2020,10:00:00 PM,9.4994,9.1948,0.3046,8.818
10/17/2020,10:30:00 PM,9.5023,9.19753,0.30477,8.788
10/17/2020,11:00:00 PM,9.5036,9.19931,0.30429,8.747
10/17/2020,11:30:00 PM,9.5026,9.19838,0.30422,8.722
10/18/2020,12:00:00 AM,9.5009,9.19702,0.30388,8.705
10/18/2020,12:30:00 AM,9.4989,9.19418,0.30472,8.686
10/18/2020,1:00:00 AM,9.4978,9.19166,0.30614,8.671
10/18/2020,1:30:00 AM,9.4969,9.19247,0.30443,8.646
10/18/2020,2:00:00 AM,9.4974,9.1948,0.3026,8.62
10/18/2020,2:30:00 AM,9.4975,9.19494,0.30256,8.61
10/18/2020,3:00:00 AM,9.4963,9.19205,0.30425,8.604
10/18/2020,3:30:00 AM,9.4964,9.19293,0.30347,8.596
10/18/2020,4:00:00 AM,9.4968,9.19583,0.30097,8.578
10/18/2020,4:30:00 AM,9.4964,9.19684,0.29956,8.564
10/18/2020,5:00:00 AM,9.4983,9.20173,0.29657,8.543
10/18/2020,5:30:00 AM,9.5024,9.20696,0.29544,8.534
10/18/2020,6:00:00 AM,9.5043,9.21038,0.29392,8.528
10/18/2020,6:30:00 AM,9.5075,9.21383,0.29367,8.511
10/18/2020,7:00:00 AM,9.5097,9.21673,0.29297,8.511
10/18/2020,7:30:00 AM,9.5077,9.21153,0.29617,8.512
10/18/2020,8:00:00 AM,9.5074,9.21215,0.29525,8.513
10/18/2020,8:30:00 AM,9.509,9.21104,0.29796,8.523
10/18/2020,9:00:00 AM,9.5102,9.20899,0.30121,8.572
10/18/2020,9:30:00 AM,9.5117,9.20737,0.30433,8.656
10/18/2020,10:00:00 AM,9.5152,9.21123,0.30397,8.756
10/18/2020,10:30:00 AM,9.5165,9.21102,0.30548,8.85
10/18/2020,11:00:00 AM,9.517,9.20692,0.31008,8.929
10/18/2020,11:30:00 AM,9.5168,9.20511,0.31169,9.007
10/18/2020,12:00:00 PM,9.5168,9.20343,0.31337,9.09
10/18/2020,12:30:00 PM,9.5174,9.20272,0.31468,9.168
10/18/2020,1:00:00 PM,9.516,9.19998,0.31602,9.218
10/18/2020,1:30:00 PM,9.5132,9.19612,0.31708,9.258
10/18/2020,2:00:00 PM,9.5101,9.19282,0.31728,9.317
10/18/2020,2:30:00 PM,9.5085,9.19122,0.31728,9.308
10/18/2020,3:00:00 PM,9.5047,9.18793,0.31677,9.296
10/18/2020,3:30:00 PM,9.5026,9.18633,0.31627,9.271
10/18/2020,4:00:00 PM,9.4991,9.18508,0.31402,9.224
10/18/2020,4:30:00 PM,9.4983,9.18302,0.31528,9.168
10/18/2020,5:00:00 PM,9.4954,9.18195,0.31345,9.121
10/18/2020,5:30:00 PM,9.4945,9.18023,0.31427,9.065
10/18/2020,6:00:00 PM,9.4957,9.18291,0.31279,9.018
10/18/2020,6:30:00 PM,9.4964,9.18371,0.31269,9
10/18/2020,7:00:00 PM,9.4982,9.18535,0.31285,8.985
10/18/2020,7:30:00 PM,9.5004,9.18906,0.31134,8.979
10/18/2020,8:00:00 PM,9.5032,9.19173,0.31147,8.98
10/18/2020,8:30:00 PM,9.5041,9.19372,0.31038,8.949
10/18/2020,9:00:00 PM,9.5042,9.19431,0.30989,8.918
10/18/2020,9:30:00 PM,9.5033,9.19539,0.30791,8.875
10/18/2020,10:00:00 PM,9.5039,9.19636,0.30754,8.839
10/18/2020,10:30:00 PM,9.5029,9.19607,0.30683,8.804
10/18/2020,11:00:00 PM,9.5015,9.19551,0.30599,8.77
10/18/2020,11:30:00 PM,9.5007,9.19489,0.30581,8.739
10/19/2020,12:00:00 AM,9.5001,9.19274,0.30736,8.735
10/19/2020,12:30:00 AM,9.4998,9.1929,0.3069,8.718
10/19/2020,1:00:00 AM,9.4993,9.19279,0.30651,8.705
10/19/2020,1:30:00 AM,9.4991,9.19378,0.30532,8.695
10/19/2020,2:00:00 AM,9.4988,9.19287,0.30593,8.684
10/19/2020,2:30:00 AM,9.4979,9.19177,0.30613,8.677
10/19/2020,3:00:00 AM,9.4978,9.19328,0.30452,8.666
10/19/2020,3:30:00 AM,9.4973,9.19332,0.30398,8.656
10/19/2020,4:00:00 AM,9.496,9.19328,0.30272,8.64
10/19/2020,4:30:00 AM,9.4958,9.19348,0.30232,8.615
10/19/2020,5:00:00 AM,9.494,9.19134,0.30266,8.6
10/19/2020,5:30:00 AM,9.4949,9.19299,0.30191,8.58
10/19/2020,6:00:00 AM,9.4968,9.1967,0.3001,8.562
10/19/2020,6:30:00 AM,9.499,9.20022,0.29878,8.547
10/19/2020,7:00:00 AM,9.5005,9.20231,0.29819,8.548
10/19/2020,7:30:00 AM,9.5026,9.20574,0.29686,8.534
10/19/2020,8:00:00 AM,9.5019,9.20619,0.29571,8.527
10/19/2020,8:30:00 AM,9.5044,9.20843,0.29597,8.546
10/19/2020,9:00:00 AM,9.5071,9.20931,0.29779,8.596
10/19/2020,9:30:00 AM,9.5099,9.20892,0.30098,8.679
10/19/2020,10:00:00 AM,9.5124,9.21061,0.30179,8.768
10/19/2020,10:30:00 AM,9.5139,9.21037,0.30353,8.859
10/19/2020,11:00:00 AM,9.5145,9.20858,0.30592,8.943
10/19/2020,11:30:00 AM,9.5138,9.20443,0.30937,9.015
10/19/2020,12:00:00 PM,9.5137,9.2007,0.313,9.103
10/19/2020,12:30:00 PM,9.513,9.19886,0.31414,9.179
10/19/2020,1:00:00 PM,9.5101,9.19363,0.31647,9.227
10/19/2020,1:30:00 PM,9.507,9.19046,0.31654,9.267
10/19/2020,2:00:00 PM,9.5029,9.18631,0.31659,9.305
10/19/2020,2:30:00 PM,9.4981,9.18181,0.31629,9.299
10/19/2020,3:00:00 PM,9.4967,9.18042,0.31628,9.284
10/19/2020,3:30:00 PM,9.4938,9.17762,0.31618,9.255
10/19/2020,4:00:00 PM,9.4924,9.17824,0.31416,9.203
10/19/2020,4:30:00 PM,9.4906,9.17472,0.31588,9.147
10/19/2020,5:00:00 PM,9.4892,9.17507,0.31413,9.108
10/19/2020,5:30:00 PM,9.4877,9.17269,0.31501,9.08
10/19/2020,6:00:00 PM,9.4877,9.17325,0.31445,9.053
10/19/2020,6:30:00 PM,9.4887,9.1738,0.3149,9.003
10/19/2020,7:00:00 PM,9.4889,9.1756,0.3133,8.935
10/19/2020,7:30:00 PM,9.4875,9.17529,0.31221,8.896
10/19/2020,8:00:00 PM,9.4894,9.17676,0.31264,8.875
10/19/2020,8:30:00 PM,9.489,9.17883,0.31017,8.849
10/19/2020,9:00:00 PM,9.4898,9.18149,0.30831,8.824
10/19/2020,9:30:00 PM,9.4924,9.18607,0.30633,8.773
10/19/2020,10:00:00 PM,9.4931,9.1882,0.3049,8.739
10/19/2020,10:30:00 PM,9.4937,9.19018,0.30352,8.701
10/19/2020,11:00:00 PM,9.4938,9.19097,0.30283,8.681
10/19/2020,11:30:00 PM,9.4962,9.19302,0.30318,8.664
10/20/2020,12:00:00 AM,9.4976,9.19503,0.30257,8.659
10/20/2020,12:30:00 AM,9.4989,9.19706,0.30184,8.647
10/20/2020,1:00:00 AM,9.4997,9.19941,0.30029,8.633
10/20/2020,1:30:00 AM,9.499,9.19849,0.30051,8.611
10/20/2020,2:00:00 AM,9.4984,9.20019,0.29821,8.58
10/20/2020,2:30:00 AM,9.4981,9.20084,0.29726,8.556
10/20/2020,3:00:00 AM,9.4984,9.20219,0.29621,8.544
10/20/2020,3:30:00 AM,9.4966,9.19922,0.29738,8.541
10/20/2020,4:00:00 AM,9.4966,9.19699,0.29961,8.539
10/20/2020,4:30:00 AM,9.4953,9.19558,0.29972,8.54
10/20/2020,5:00:00 AM,9.4936,9.19395,0.29965,8.528
10/20/2020,5:30:00 AM,9.4939,9.19531,0.29859,8.529
10/20/2020,6:00:00 AM,9.4939,9.19635,0.29755,8.504
10/20/2020,6:30:00 AM,9.4948,9.19953,0.29527,8.487
10/20/2020,7:00:00 AM,9.4942,9.20032,0.29388,8.466
10/20/2020,7:30:00 AM,9.4937,9.19856,0.29514,8.457
10/20/2020,8:00:00 AM,9.4942,9.19961,0.29459,8.457
10/20/2020,8:30:00 AM,9.4953,9.19992,0.29538,8.488
10/20/2020,9:00:00 AM,9.4964,9.19873,0.29767,8.549
10/20/2020,9:30:00 AM,9.5001,9.20038,0.29972,8.628
10/20/2020,10:00:00 AM,9.5013,9.19775,0.30355,8.72
10/20/2020,10:30:00 AM,9.5015,9.19581,0.30569,8.81
10/20/2020,11:00:00 AM,9.5026,9.19368,0.30892,8.904
10/20/2020,11:30:00 AM,9.5023,9.19169,0.31061,8.984
10/20/2020,12:00:00 PM,9.5011,9.18639,0.31471,9.068
10/20/2020,12:30:00 PM,9.4988,9.18354,0.31526,9.139
10/20/2020,1:00:00 PM,9.4967,9.17988,0.31682,9.189
10/20/2020,1:30:00 PM,9.4914,9.17459,0.31681,9.229
10/20/2020,2:00:00 PM,9.4877,9.17267,0.31503,9.286
10/20/2020,2:30:00 PM,9.4853,9.16913,0.31617,9.295
10/20/2020,3:00:00 PM,9.4827,9.1671,0.3156,9.303
10/20/2020,3:30:00 PM,9.4818,9.16501,0.31679,9.293
10/20/2020,4:00:00 PM,9.4806,9.16573,0.31487,9.245
10/20/2020,4:30:00 PM,9.4784,9.16184,0.31656,9.205
10/20/2020,5:00:00 PM,9.4775,9.16016,0.31734,9.159
10/20/2020,5:30:00 PM,9.476,9.15821,0.31779,9.12
10/20/2020,6:00:00 PM,9.4756,9.15742,0.31818,9.077
10/20/2020,6:30:00 PM,9.4746,9.15816,0.31644,9.015
10/20/2020,7:00:00 PM,9.4737,9.15673,0.31697,8.977
10/20/2020,7:30:00 PM,9.4754,9.15928,0.31612,8.948
10/20/2020,8:00:00 PM,9.4772,9.16271,0.31449,8.947
10/20/2020,8:30:00 PM,9.4786,9.16202,0.31658,8.943
10/20/2020,9:00:00 PM,9.4793,9.16402,0.31528,8.93
10/20/2020,9:30:00 PM,9.4778,9.16334,0.31446,8.893
10/20/2020,10:00:00 PM,9.4787,9.16577,0.31293,8.866
10/20/2020,10:30:00 PM,9.4793,9.16648,0.31282,8.843
10/20/2020,11:00:00 PM,9.4803,9.16987,0.31043,8.802
10/20/2020,11:30:00 PM,9.4787,9.16875,0.30995,8.75
10/21/2020,12:00:00 AM,9.478,9.16946,0.30854,8.711
10/21/2020,12:30:00 AM,9.4767,9.16816,0.30854,8.676
10/21/2020,1:00:00 AM,9.4764,9.16732,0.30908,8.65
10/21/2020,1:30:00 AM,9.4748,9.16648,0.30832,8.634
10/21/2020,2:00:00 AM,9.4758,9.16829,0.30751,8.621
10/21/2020,2:30:00 AM,9.4753,9.16864,0.30666,8.604
10/21/2020,3:00:00 AM,9.4743,9.16669,0.30761,8.589
10/21/2020,3:30:00 AM,9.4712,9.16251,0.30869,8.594
10/21/2020,4:00:00 AM,9.4691,9.15983,0.30927,8.594
10/21/2020,4:30:00 AM,9.4699,9.15906,0.31084,8.58
10/21/2020,5:00:00 AM,9.4694,9.15943,0.30997,8.571
10/21/2020,5:30:00 AM,9.4696,9.15911,0.31049,8.572
10/21/2020,6:00:00 AM,9.47,9.16098,0.30902,8.562
10/21/2020,6:30:00 AM,9.4705,9.16291,0.30759,8.561
10/21/2020,7:00:00 AM,9.4716,9.16535,0.30625,8.547
10/21/2020,7:30:00 AM,9.4706,9.16524,0.30536,8.521
10/21/2020,8:00:00 AM,9.4721,9.16678,0.30532,8.504
10/21/2020,8:30:00 AM,9.4721,9.16568,0.30642,8.518
10/21/2020,9:00:00 AM,9.4746,9.16638,0.30822,8.579
10/21/2020,9:30:00 AM,9.4775,9.16755,0.30995,8.661
10/21/2020,10:00:00 AM,9.4785,9.16717,0.31133,8.744
10/21/2020,10:30:00 AM,9.4787,9.16445,0.31425,8.832
10/21/2020,11:00:00 AM,9.4798,9.16255,0.31725,8.928
10/21/2020,11:30:00 AM,9.4807,9.16297,0.31773,9.009
10/21/2020,12:00:00 PM,9.4795,9.16109,0.31841,9.077
10/21/2020,12:30:00 PM,9.4799,9.16156,0.31834,9.174
10/21/2020,1:00:00 PM,9.4788,9.16135,0.31745,9.231
10/21/2020,1:30:00 PM,9.4766,9.1584,0.3182,9.245
10/21/2020,2:00:00 PM,9.4733,9.15646,0.31684,9.254
10/21/2020,2:30:00 PM,9.4718,9.15395,0.31785,9.208
10/21/2020,3:00:00 PM,9.4708,9.15308,0.31772,9.177
10/21/2020,3:30:00 PM,9.4691,9.15213,0.31697,9.142
10/21/2020,4:00:00 PM,9.4682,9.15221,0.31599,9.083
10/21/2020,4:30:00 PM,9.4664,9.14894,0.31746,9.015
10/21/2020,5:00:00 PM,9.4648,9.14914,0.31566,8.963
10/21/2020,5:30:00 PM,9.4649,9.14859,0.31631,8.921
10/21/2020,6:00:00 PM,9.4646,9.1488,0.3158,8.885
10/21/2020,6:30:00 PM,9.4647,9.15062,0.31408,8.84
10/21/2020,7:00:00 PM,9.4647,9.14968,0.31502,8.788
10/21/2020,7:30:00 PM,9.4662,9.15154,0.31466,8.75
10/21/2020,8:00:00 PM,9.468,9.15666,0.31134,8.727
10/21/2020,8:30:00 PM,9.4687,9.15792,0.31078,8.701
10/21/2020,9:00:00 PM,9.47,9.16276,0.30724,8.68
10/21/2020,9:30:00 PM,9.4709,9.1642,0.3067,8.65
10/21/2020,10:00:00 PM,9.4737,9.16891,0.30479,8.622
10/21/2020,10:30:00 PM,9.4752,9.17238,0.30282,8.583
10/21/2020,11:00:00 PM,9.4777,9.17718,0.30052,8.529
10/21/2020,11:30:00 PM,9.4785,9.17592,0.30258,8.464
10/22/2020,12:00:00 AM,9.4791,9.17907,0.30003,8.434
10/22/2020,12:30:00 AM,9.4798,9.18311,0.29669,8.414
10/22/2020,1:00:00 AM,9.4806,9.18694,0.29366,8.401
10/22/2020,1:30:00 AM,9.4813,9.18815,0.29315,8.365
10/22/2020,2:00:00 AM,9.4822,9.19095,0.29125,8.323
10/22/2020,2:30:00 AM,9.4853,9.19426,0.29104,8.292
10/22/2020,3:00:00 AM,9.4849,9.19444,0.29046,8.279
10/22/2020,3:30:00 AM,9.4848,9.19457,0.29023,8.264
10/22/2020,4:00:00 AM,9.4853,9.1947,0.2906,8.244
10/22/2020,4:30:00 AM,9.4839,9.19344,0.29046,8.243
10/22/2020,5:00:00 AM,9.4857,9.19532,0.29038,8.248
10/22/2020,5:30:00 AM,9.4866,9.19774,0.28886,8.229
10/22/2020,6:00:00 AM,9.4882,9.19951,0.28869,8.196
10/22/2020,6:30:00 AM,9.4919,9.2034,0.2885,8.174
10/22/2020,7:00:00 AM,9.4953,9.20686,0.28844,8.159
10/22/2020,7:30:00 AM,9.4986,9.20984,0.28876,8.154
10/22/2020,8:00:00 AM,9.5016,9.21138,0.29022,8.156
10/22/2020,8:30:00 AM,9.5037,9.21319,0.29051,8.17
10/22/2020,9:00:00 AM,9.5067,9.21526,0.29144,8.226
10/22/2020,9:30:00 AM,9.5083,9.21535,0.29295,8.305
10/22/2020,10:00:00 AM,9.5093,9.21527,0.29403,8.404
10/22/2020,10:30:00 AM,9.5095,9.21315,0.29635,8.504
10/22/2020,11:00:00 AM,9.5074,9.20929,0.29811,8.603
10/22/2020,11:30:00 AM,9.5079,9.20779,0.30011,8.677
10/22/2020,12:00:00 PM,9.5062,9.20449,0.30171,8.758
10/22/2020,12:30:00 PM,9.5047,9.19962,0.30508,8.833
10/22/2020,1:00:00 PM,9.5028,9.19552,0.30728,8.88
10/22/2020,1:30:00 PM,9.5002,9.19027,0.30993,8.915
10/22/2020,2:00:00 PM,9.4992,9.18749,0.31171,8.954
10/22/2020,2:30:00 PM,9.497,9.18413,0.31287,8.952
10/22/2020,3:00:00 PM,9.495,9.1828,0.3122,8.927
10/22/2020,3:30:00 PM,9.4934,9.18115,0.31225,8.902
10/22/2020,4:00:00 PM,9.4933,9.18199,0.31131,8.859
10/22/2020,4:30:00 PM,9.4928,9.18057,0.31223,8.832
10/22/2020,5:00:00 PM,9.4931,9.18353,0.30957,8.799
10/22/2020,5:30:00 PM,9.4919,9.182,0.3099,8.765
10/22/2020,6:00:00 PM,9.4904,9.18199,0.30841,8.707
10/22/2020,6:30:00 PM,9.4896,9.18013,0.30947,8.633
10/22/2020,7:00:00 PM,9.4879,9.18041,0.30749,8.593
10/22/2020,7:30:00 PM,9.488,9.18412,0.30388,8.561
10/22/2020,8:00:00 PM,9.4861,9.17963,0.30647,8.526
10/22/2020,8:30:00 PM,9.4872,9.18521,0.30199,8.475
10/22/2020,9:00:00 PM,9.4865,9.1834,0.3031,8.424
10/22/2020,9:30:00 PM,9.4875,9.19062,0.29688,8.378
10/22/2020,10:00:00 PM,9.4874,9.18962,0.29778,8.374
